"","tamoxifen","MK-1775","leptomycin B"
"MB-0099",14.0959286788568,10.7677628887387,8.68278455698794
"MB-0100",14.0688478471703,8.76846286900605,1.58690207157093
"MB-0101",13.9192985666448,11.1985705682932,6.1277507395144
"MB-0102",13.9875697495998,11.2678486174296,6.39199341561672
"MB-0106",13.9005171022108,12.098861942946,8.65172540348068
"MB-0107",14.1382132095493,12.1928983626307,8.92376828682948
"MB-0108",14.0710669346642,10.179436509807,6.44743777705456
"MB-0109",13.9664992786151,9.90565525710123,3.98632287283642
"MB-0110",14.1148361737245,10.0394631339642,6.28084384043104
"MB-0111",14.0470869199326,13.0278225259956,10.877042228201
"MB-0112",13.9536612615461,12.7936560191995,10.1986719391706
"MB-0113",14.0002815587275,11.1633489459041,8.29921743939068
"MB-0114",14.0103289235191,12.5819431412156,5.68259953737742
"MB-0115",14.1885673560731,7.60677577283721,1.64066758038875
"MB-0116",14.042000457873,11.6742894605267,11.1720580524479
"MB-0117",13.95330670397,11.4491158592537,8.97606101668952
"MB-0119",14.0275323131269,13.9846097905669,13.9259971385575
"MB-0120",13.9972148851384,9.23722295804818,3.51870043018908
"MB-0121",13.9717798305327,13.4286641110233,12.0252321497343
"MB-0122",13.9602434218063,12.9578966144851,9.39662390316378
"MB-0123",14.0467236091496,12.0812312901865,14.7882274285862
"MB-0124",13.9407438136185,11.2797555584884,5.61734592746891
"MB-0125",13.9229461370807,13.6717630376491,7.95322372346443
"MB-0126",14.0130620120615,13.4420013216729,9.68296230402767
"MB-0127",14.0523958651288,11.9629960454048,12.7640157662052
"MB-0128",14.0681340123566,10.5473394736947,4.85797495345808
"MB-0129",14.0881343743371,10.1667149372387,6.33919020181917
"MB-0130",13.9223769465955,12.1287228906329,10.0433417054388
"MB-0131",13.9866606479157,12.570144113073,5.96826569799231
"MB-0133",13.8714498970846,12.3318805550675,6.17540921705753
"MB-0134",14.0213499096999,12.0219176352042,5.17781494195711
"MB-0135",13.968088119899,13.4001678437503,10.5790761967925
"MB-0136",14.051670405285,10.3392360235999,7.89916622955501
"MB-0138",14.0239469828879,12.2001266466013,13.0116546543581
"MB-0139",13.9490736388633,11.6086499873822,11.3582263311136
"MB-0140",14.001087476186,12.8948504402313,15.9257363063752
"MB-0142",13.8546812522578,12.8151690600696,16.2209080225249
"MB-0143",14.0107379262824,11.3514553606103,5.35795883430671
"MB-0144",13.9281224771214,12.5456404621466,9.03287787871774
"MB-0145",13.9966940331441,11.7874843441532,13.3264499248916
"MB-0146",13.9211028577921,13.1274528101632,11.4432998989834
"MB-0147",13.9589155352761,12.2976963504976,7.5905020450246
"MB-0148",13.9640233924623,10.5924274124135,5.60471819166001
"MB-0149",14.2008386748437,8.8204211149306,2.67462285097053
"MB-0150",14.1453636174612,8.32899595695635,2.71802767943715
"MB-0151",13.9457086661121,13.1938168606669,15.6422243334415
"MB-0152",14.0525091586852,10.9309226464174,6.92754206144553
"MB-0153",14.3021875727106,9.40481415955487,2.97900512214006
"MB-0154",13.9284429209886,12.7005188642815,13.791636168215
"MB-0155",14.0181592284225,10.8170123911131,9.41184038515523
"MB-0156",14.1117100887497,10.8779573238538,8.30543102932719
"MB-0157",14.1999016354397,8.99467800320538,2.54330453517716
"MB-0158",14.0143347368827,11.1587333826343,8.36629766190204
"MB-0159",14.0681778976416,9.63699347397424,5.37587326127186
"MB-0160",14.0520532142417,10.4677644594948,8.34096206062332
"MB-0162",13.980253860965,11.7802639623763,9.37973898522232
"MB-0163",14.1803881057496,10.0301376436708,4.00431099069202
"MB-0164",14.2303001748644,8.04154234171116,1.548355352589
"MB-0165",13.9356652971853,10.3790032833111,7.13564835300501
"MB-0166",13.9581246184957,12.8042688571825,11.3725676172442
"MB-0167",13.9382009545834,9.74112923252693,2.74434324447081
"MB-0168",14.077255030689,11.7917376062108,11.3425373211877
"MB-0169",13.9804628986012,11.6195165784511,11.3277313518219
"MB-0170",13.8862216827316,11.408781537513,8.51409263850784
"MB-0171",14.0593134110257,11.9674925746546,10.6077225717071
"MB-0172",13.9980450839355,9.80133227480016,5.53400536175969
"MB-0173",13.8896489264539,11.8147646148407,8.06400471345173
"MB-0174",14.1532710804223,10.157287870827,3.89106241814034
"MB-0175",13.9544045702153,13.425318781499,13.3636760517055
"MB-0176",14.0337547468359,12.8751481789087,14.1306660719412
"MB-0177",14.0640975925134,13.1894009909823,16.8025178482512
"MB-0178",13.9688836128686,11.7698781528587,7.17487787529339
"MB-0179",14.0492330866564,9.48380513556672,4.96640458677295
"MB-0180",13.9467737994948,13.8883820685269,12.9782725075381
"MB-0181",13.9516737218318,12.0008233319998,13.0895341132139
"MB-0184",13.9458417575258,14.2180406271126,9.83366949220524
"MB-0185",14.0601188326688,11.2100703414242,5.86228006876674
"MB-0188",13.962203048987,9.23498986079718,4.06481546461919
"MB-0189",14.0912341974772,12.2290319044048,16.9538269956658
"MB-0191",14.1735401974913,7.34284859830995,0.580947855334647
"MB-0192",13.964707239545,8.0076934351107,2.51379318514839
"MB-0193",14.0186089750734,13.6161662537172,8.75152470496815
"MB-0194",13.9757538568152,12.2350514756793,12.5922842562228
"MB-0195",13.9913274569471,13.6696437073949,11.6357486188473
"MB-0196",14.1362316765295,10.3172346958069,3.73482366899965
"MB-0197",14.0035655905568,10.342938415414,3.87894538227354
"MB-0198",14.0593231208122,12.0463513569746,7.84776394144098
"MB-0199",13.9860509054443,12.1711894840099,10.1018952001009
"MB-0200",14.1869151699907,6.32262436712943,0.246296972036386
"MB-0201",14.1110121514644,9.88010402784374,5.81688806272205
"MB-0202",14.0619128596993,12.7748819238577,10.3646019254945
"MB-0203",14.0599767829837,12.3148574776526,13.6942442162783
"MB-0204",14.0245586991127,12.3617635781661,13.6799946678679
"MB-0205",13.9505640819894,12.0249979166716,15.062266875789
"MB-0206",14.1268690836777,5.70525562267209,0.835475371451298
